Route Name,PassBy Station,Departure Station,Arrival Station,First Entry,Last Entry
K1071,安庆,北京西,安庆,0,17
K1072,安庆,安庆,北京西,18,35
K706/K707,安庆,西安,安庆,36,51
K708/K705,安庆,安庆,西安,52,72
K8434/K8435,安庆,上海,安庆,73,86
K8436/K8433,安庆,安庆,上海,87,99
K8587,安庆,淮北,安庆,100,110
K8588,安庆,安庆,淮北,111,120
K8589,安庆,合肥,安庆,121,126
K8590,安庆,安庆,合肥,127,131
L299,安庆,北京,安庆,132,145
L300,安庆,安庆,北京,146,160
L69,安庆,北京西,安庆,161,171
L70,安庆,安庆,北京西,172,187
L8685,安庆,阜阳,安庆,188,194
L8686,安庆,安庆,阜阳,195,200
K1029,安庆西,合肥,东莞东,201,213
K1030,安庆西,东莞东,合肥,214,225
K1071,安庆西,北京西,安庆,0,17
K1072,安庆西,安庆,北京西,18,35
K255,安庆西,合肥,深圳西,226,244
K256,安庆西,深圳西,合肥,245,262
K309/K312,安庆西,广州东,合肥,263,276
K311/K310,安庆西,合肥,广州东,277,290
K321,安庆西,合肥,福州,291,305
K322,安庆西,福州,合肥,306,321
K491,安庆西,济南,昆明,322,353
K492,安庆西,昆明,济南,354,384
K612/K613,安庆西,南昌,连云港东,385,399
K614/K611,安庆西,连云港东,南昌,400,414
K706/K707,安庆西,西安,安庆,36,51
K708/K705,安庆西,安庆,西安,52,72
K8391,安庆西,阜阳,宿松,415,422
K8392,安庆西,宿松,合肥,423,430
K8434/K8435,安庆西,上海,安庆,73,86
K8436/K8433,安庆西,安庆,上海,87,99
K8587,安庆西,淮北,安庆,100,110
K8588,安庆西,安庆,淮北,111,120
K8589,安庆西,合肥,安庆,121,126
K8590,安庆西,安庆,合肥,127,131
K92/K93,安庆西,深圳东,泰州,431,448
K94/K91,安庆西,泰州,深圳东,449,465
L295/L298,安庆西,东莞,阜阳,466,477
L297/L296,安庆西,阜阳,东莞,478,488
L299,安庆西,北京,安庆,132,145
L300,安庆西,安庆,北京,146,160
L489/L492,安庆西,合肥,广州东,489,496
L491/L490,安庆西,广州东,合肥,497,507
L69,安庆西,北京西,安庆,161,171
L70,安庆西,安庆,北京西,172,187
L781,安庆西,徐州,广州东,508,520
L783/L782,安庆西,广州东,徐州,521,532
L8685,安庆西,阜阳,安庆,188,194
L8686,安庆西,安庆,阜阳,195,200
1228/1229,蚌埠,上海,阜新,533,561
1230/1227,蚌埠,阜新,上海,562,591
1342/1343,蚌埠,杭州,齐齐哈尔,592,639
1344/1341,蚌埠,齐齐哈尔,杭州,640,686
1461,蚌埠,北京,上海,687,716
1462,蚌埠,上海,北京,717,745
1470/1471,蚌埠,杭州,哈尔滨,746,795
1472/1469,蚌埠,哈尔滨,杭州,796,838
1601/1604,蚌埠,临汾,苏州,839,863
1602/1603,蚌埠,苏州,临汾,864,885
2594/2595,蚌埠,杭州,郑州,886,902
2596/2593,蚌埠,郑州,杭州,903,919
D618/D619,蚌埠,上海,郑州,920,929
D620/D617,蚌埠,郑州,上海,930,937
D656/D657,蚌埠,上海,郑州,938,946
D658/D655,蚌埠,郑州,上海,947,956
D666/D667,蚌埠,上海,郑州,957,966
D668/D665,蚌埠,郑州,上海,967,975
K101/K104,蚌埠,北京,温州,976,1001
K102,蚌埠,温州,北京,1002,1030
K1101/K1104,蚌埠,安阳,上海,1031,1050
K1102/K1103,蚌埠,上海,安阳,1051,1071
K1182/K1183,蚌埠,金华西,烟台,1072,1103
K1184/K1181,蚌埠,烟台,金华西,1104,1132
K1202/K1203,蚌埠,贵阳,烟台,1133,1158
K1204/K1201,蚌埠,烟台,贵阳,1159,1193
K1331/K1334,蚌埠,银川,上海,1194,1220
K1332/K1333,蚌埠,上海,银川,1221,1250
K152/K153,蚌埠,上海,郑州,1251,1264
K154/K151,蚌埠,郑州,上海,1265,1277
K161,蚌埠,徐州,湛江,1278,1306
K162,蚌埠,湛江,徐州,1307,1336
